Codigo Proveedor ;Nombre ;Descripcion Larga;Detalle ;Familia;Clase ;Costo ;Precio Lista;
9872;Cocina Jam .Estandar 4H Blanco;Cocina Jam Mod.Estandar 4H Blanco;Cocina Jam Mod.Estandar 4H Blanco;15;15006;450000;630000;
9873;Cocina Jam Mod.Luxus 4H;Cocina Jam Mod.Luxus 4H;Cocina Jam Mod.Luxus 4H;15;15006;620000;868000;
8352;Cocina Vitro. Jam c/Quemador ;Cocina Vitroceramica Jam Mod. Fyd-Ds20-21 1 Quemador Tactil Premium;Cocina Vitroceramica Jam Mod. Fyd-Ds20-21 1 Quemador Tactil Premium;15;15004;200000;280000;
10229;Cocina Vitro.Jam 1 Quemador ;Cocina Vitroceramica Jam 1 Quemador Simplex 2000Vc;Cocina Vitroceramica Jam 1 Quemador Simplex 2000Vc;15;15004;170000;238000;
10228;Cocina Vitro Jam 2 Quemadores ;Cocina Vitroceramica Jam 2 Quemadores Donna 3000Vc;Cocina Vitroceramica Jam 2 Quemadores Donna 3000Vc;15;15004;350000;490000;
2436;Cocina Vitro Jam Tactil ;Cocina Vitroceramica Jam 400Vc 2 Quemadores  Premium;Cocina Vitroceramica Jam 400Vc 2 Quemadores Tactil Premium;15;15004;620000;868000;
11528;Congelador Jam 510 L 2 Tapas ;Congelador Jam 510 Litros 2 Tapas  - Jamf-520D Luz Led 3 Canastas;Congelador Jam 510 Litros 2 Tapas  - Jamf-520D Luz Led 3 Canastas;5;5002;3300000;4620000;
4089;Exhibidora Jam  105 Litros;Exhibidora Jam Slim Sc105B 105 Litros Led;Exhibidora Jam Slim Sc105B 105 Litros Led;5;5004;2100000;2940000;
11195;Exprimidora Jam Candy 85W 1,6L;Exprimidora Jam Mod. Candy 85W 1,6Lts;Exprimidora Jam Mod. Candy 85W 1,6Lts;1;1006;115000;161000;
10721;Freezer Vertical Jam Bco  210L;Freezer Vertical Jam Blanco Jams-170W  210Lts;Freezer Vertical Jam Blanco Jams-170W  210Lts;5;5002;2000000;2800000;
6067;Heladera Jam Bca F/S 2P 320L;Heladera Jam Blanca  F/S  Jams-226W 2P.  320L;Heladera Jam Blanca  F/S  Jams-226W 2P.  320Lts;5;5001;2400000;3360000;
9957;Heladera Jam Bca  2P F/H 340L;Heladera Jam Blanca  2P F/H Jamd-341F 340Lts;Heladera Jam Blanca  2P F/H Jamd-341F 340Lts;5;5001;1900000;2660000;
9960;Heladera Jam Bca F/H 2P 300L;Heladera Jam Blanca F/H  Jamd-273F 2P.  300Lts;Heladera Jam Blanca F/H  Jamd-273F 2P.  300Lts;5;5001;1500000;2100000;
11419;Heladera Jam Bca F/H  2P 400L;Heladera Jam Blanca F/H Jamd-410W 2P 400Lts;Heladera Jam Blanca F/H Jamd-410W 2P 400Lts;5;5001;2150000;3010000;
6804;Heladera Jam Inox F/H 2P 300L;Heladera Jam Inox F/H Jamd-273X 2Ptas 300Lts;Heladera Jam Inox F/H Jamd-273X 2Ptas 300Lts;5;5001;1550000;2170000;
6068;Heladera Jam Silver F/S2P 320L;Heladera Jam Silver F/S Jams-226S 2P. 320Lts;Heladera Jam Silver F/S Jams-226S 2P. 320Lts;5;5001;2600000;3640000;
10450;Hervidora Jam De Vidrio 1.7 L;Hervidora Jam De Vidrio 1.7 Lt Mod. Mate 3000;Hervidora Jam De Vidrio 1.7 Lt Mod. Mate 3000;1;1011;120000;168000;
5586;Hervidora Jam 1.7L Blanca  ;Hervidora Jam 1.7L Blanca  Mod.Ck-1011;Hervidora Jam 1.7L Blanca  Mod.Ck-1011;1;1011;50000;70000;
5585;Hervidora Jam 1.7L Inox ;Hervidora Jam 1.7L Inox Mod.Ck -1009A;Hervidora Jam 1.7L Inox Mod.Ck -1009A;1;1011;80000;112000;
11460;Horno Electrico Jam 42L Timer ;Horno Electrico Jam 42Lts Dn42E-Rml Luz Int Spiedo Timer 120M 2000W;Horno Electrico Jam 42Lts Dn42E-Rml Luz Int Spiedo Timer 120M 2000W;15;15002;410000;574000;
11461;Horno Electrico Jam 50L Timer ;Horno Electrico Jam 50 Lts Dn50E-Rml C/ Luz Interna, Spiedo, Timer 120Min 2200W;Horno Electrico Jam 50 Lts Dn50E-Rml C/ Luz Interna, Spiedo, Timer 120Min 2200W;15;15002;570000;798000;
11462;Horno Electrico Jam 60 LTimer ;Horno Electrico Jam 60 Lts Dn60E-Rml C/ Luz Interna, Spiedo, Timer 120Min 2200W;Horno Electrico Jam 60 Lts Dn60E-Rml C/ Luz Interna, Spiedo, Timer 120Min 2200W;15;15002;630000;882000;
11391;Horno Jam Empotrable 60I Inox ;Horno Jam Empotrable Bo-60Ix Inox Temp 240°C. Timer 90 Min. 5 Func. C/ Bandeja;Horno Jam Empotrable Bo-60Ix Inox Temp 240°C. Timer 90 Min. 5 Func. C/ Bandeja;15;15002;1400000;1960000;
11392;Horno Jam Empotrable 60l Ng ;Horno Jam Empotrable Bo-60Ng Negro Temp 250°C. Timer 90 Min. 9 Func. C/ Bandeja;Horno Jam Empotrable Bo-60Ng Negro Temp 250°C. Timer 90 Min. 9 Func. C/ Bandeja;15;15002;1500000;2100000;
