Codigo Proveedor ;Nombre ;Descripcionlarga;Descripcionlarga;Familia;Clase ;Costo ;Preciolista
EFUP22P5HRG;Congelador Electrolux  Vertical 245 Litros;Congelador Electrolux  Vertical 245 Litros;Congelador Electrolux  Vertical 245 Litros;5;5002;4174000;5843600
EFCC25C5HQW;Congelador Electrolux  Horiz. 200 L;Congelador Electrolux  Horizontal 200 Litros;Congelador Electrolux  Horizontal 200 Litros;5;5002;2240000;3136000
EFCC32C5HQW;Congelador Electrolux  Horiz. 318 L;Congelador Electrolux  Horizontal 318 Litros;Congelador Electrolux  Horizontal 318 Litros;5;5002;2789001;3904601,4
H330;Congelador Electrolux  Horiz.  324L Blanco;Congelador Electrolux  Horizontal  324L Blanco;Congelador Electrolux  Horizontal  324L Blanco;5;5002;2800001;3920001,4
H420;Congelador Electrolux  Horiz. 414 L;Congelador Electrolux  Horizontal 414 Litros;Congelador Electrolux  Horizontal 414 Litros;5;5002;3183000;4456200
H440;Congelador Electrolux  Horiz. 414 L;Congelador Electrolux  Horizontal 414 Litros;Congelador Electrolux  Horizontal 414 Litros;5;5002;3278000;4589200
H520;Congelador Electrolux  Horiz. 513 L;Congelador Electrolux  Horizontal 513 Litros;Congelador Electrolux  Horizontal 513 Litros;5;5002;3486000;4880400
H550;Congelador Electrolux  Horiz. 513 L;Congelador Electrolux  Horizontal 513 Litros;Congelador Electrolux  Horizontal 513 Litros;5;5002;3591000;5027400
EAIX12B5MBCTW;Split Electrolux  Inverter  12000Btu;Inver Electrolux ter Split  12000Btu;Inver Electrolux ter Split  12000Btu;25;25004;2990000;4186000
EAIX18B5MBCTW;Split Electrolux  Inverter 18000Btu;Inver Electrolux ter Split  18000Btu;Inver Electrolux ter Split  18000Btu;25;25004;4708000;6591200
EAIX24B5MBCTW;Split Electrolux  Inverter 24000 Btu;Split Electrolux  Inverter 24000 Btu;Split Electrolux  Inverter 24000 Btu;25;25004;7082000;9914800
EASX12B5MBETW;Split Electrolux  Convenc 12000 Btu;Split Electrolux  Convencional 12000 Btu;Split Electrolux  Convencional 12000 Btu;25;25004;2442000;3418800
EASX18B5MBETW;Split Electrolux  Convenc 18000 Btu;Split Electrolux  Convencional 18000 Btu;Split Electrolux  Convencional 18000 Btu;25;25004;3946000;5524400
EASX24B5MBETW;Split Electrolux  Convenc 24000Btu;Split Electrolux  Convencional 24000Btu;Split Electrolux  Convencional 24000Btu;25;25004;5518000;7725200
ATBC1700BH;Bicicleta Athletic 1700Bh;Bicicleta Athletic 1700Bh / 150Kg, Disco De Inercia De 5Kg ;Bicicleta Athletic 1700Bh / 150Kg, Disco De Inercia De 5Kg ;3;3001;4829200;6760880
ATBC500BH;Bicicleta Athletic 500Bh;Bicicleta Athletic 500Bh / 120Kg, Volante 5Kg;Bicicleta Athletic 500Bh / 120Kg, Volante 5Kg;3;3001;2344100;3281740
ATBC290BH;Bicicleta Athletic Vert 290Bh;Bicicleta Athletic Vertical 290Bh / 110Kg, Volante 4Kg;Bicicleta Athletic Vertical 290Bh / 110Kg, Volante 4Kg;3;3001;2051500;2872100
ATBC1700BV;Bicicleta Athletic 1700Bv;Bicicleta Athletic 1700Bv  / 150Kg, Disco De Inercia De 5Kg ;Bicicleta Athletic 1700Bv  / 150Kg, Disco De Inercia De 5Kg ;3;3001;3619100;5066740
ATBC500BV;Bicicleta Athletic 500Bv ;Bicicleta Athletic 500Bv  / 110Kg, Volante 5Kg ;Bicicleta Athletic 500Bv  / 110Kg, Volante 5Kg ;3;3001;2518900;3526460
