;nom corto ;nom largo ;detalle;fam;clase;;;
6804;HELADERA JAM INOX F/H 2P 300L;HELADERA JAM INOX F/H JAMD-273X 2PTAS 300LTS;HELADERA JAM INOX F/H JAMD-273X 2PTAS 300LTS;5;5001;1750000;2450000;HELADERA JAM INOX F/H 2P 300L
7125;EXHIBIDORA BRIKET 500 L;EXHIBIDORA BRIKET M5000 BC-500 LTS R290;EXHIBIDORA BRIKET M5000 BC-500 LTS R290;5;5004;6700000;9380000;EXHIBIDORA BRIKET 500 L
11881;COCINA A GAS JAM SAFIRO 4H;COCINA A GAS JAM MOD. SAFIRO BLANCO 4H;COCINA A GAS JAM MOD. SAFIRO BLANCO 4H;15;15006;545000;763000;COCINA A GAS JAM SAFIRO 4H
8352;COCINA VITRO. JAM C/QUEMADOR ;COCINA VITROCERAMICA JAM MOD. FYD-DS20-21 1 QUEMADOR TACTIL PREMIUM;COCINA VITROCERAMICA JAM MOD. FYD-DS20-21 1 QUEMADOR TACTIL PREMIUM;15;15004;210000;294000;COCINA VITRO. JAM C/QUEMADOR 
11850;COCINA GAS JAM 4H MESA LAGUNA;COCINA A GAS JAM 4H DE MESA MOD.  LAGUNA ;COCINA A GAS JAM 4H DE MESA MOD.  LAGUNA COLOR DISPONIBLE NEGRO BLANCO;15;15006;280000;392000;COCINA GAS JAM 4H MESA LAGUNA
9638;LICUADORA SPOLU INOX 2LT ;LICUADORA SPOLU INOX 2LT ALTA-ROTACION SPL-022;LICUADORA SPOLU INOX 2LT ALTA-ROTACION SPL-022;1;1003;1094000;1532000;LICUADORA SPOLU INOX 2LT 
9838;COCINA JAM  4H C/ HORNO ELECT;COCINA A GAS JAM MOD. COMBI 4H CON HORNO ELECTRICO BLANCO;COCINA A GAS JAM MOD. COMBI 4H CON HORNO ELECTRICO BLANCO;15;15006;635000;889000;COCINA JAM  4H C/ HORNO ELECT
9873;COCINA JAM MOD.LUXUS 4H;COCINA A GAS JAM MOD.LUXUS 4H;COCINA A GAS JAM MOD.LUXUS 4H;15;15006;620000;868000;COCINA JAM MOD.LUXUS 4H
9878;COCINA JAM 4H SAFIRO BLANCO;COCINA A GAS JAM MOD. 4H SAFIRO BLANCO;COCINA A GAS JAM MOD. 4H SAFIRO BLANCO;15;15006;545000;763000;COCINA JAM 4H SAFIRO BLANCO
9925;CENTRIFUGADORA JAM INOX 5,5KG ;CENTRIFUGADORA JAM TAMBOR INOX 55 KG 2800 RPM;CENTRIFUGADORA JAM TAMBOR INOX 55 KG 2800 RPM;13;13002;525000;735000;CENTRIFUGADORA JAM INOX 5,5KG 
9926;LAVADORA A PALETA JAM ;LAVADORA A PALETA JAM MOD. 56RB;LAVADORA A PALETA JAM MOD. 56RB;13;13001;580000;812000;LAVADORA A PALETA JAM 
9960;HELADERA JAM BCA F/H 2P 300L;HELADERA JAM BLANCA F/H  JAMD-273F 2P.  300LTS;HELADERA JAM BLANCA F/H  JAMD-273F 2P.  300LTS;5;5001;1620000;2268000;HELADERA JAM BCA F/H 2P 300L
9990;BEBEDERO JAM DE PIE   F/C ;BEBEDERO JAM DE PIE  MYL1675S-W AGUA F/C CAP:20LTS;BEBEDERO JAM DE PIE  MYL1675S-W AGUA F/C CAP:20LTS;5;5003;850000;1190000;BEBEDERO JAM DE PIE   F/C 
11902;COCINA JAM EVA TOP GLASS 4HB;COCINA A GAS JAM EVA TOP GLASS 4HB NEGRO CON LUZ EN EL HORNO;COCINA A GAS JAM EVA TOP GLASS 4HB NEGRO CON LUZ EN EL HORNO;15;15006;990000;1386000;COCINA JAM EVA TOP GLASS 4HB
3027;COMODA POLITORNO 5CAJ 2169;COMODA POLITORNO 5 CAJONES 2169 TABACO;COMODA POLITORNO 5 CAJONES 2169 TABACO COLOR DISPONIBLE TABACO - BLANCO - ROSA ;2;2002;450000;630000;COMODA POLITORNO 5CAJ 2169
10225;LICUADORA OSTER XPERT;LICUADORA OSTER XPERT ALTO DESEMP. VASO TRITAN BLSTVB-P00-051;LICUADORA OSTER XPERT ALTO DESEMP. VASO TRITAN BLSTVB-P00-051;1;1003;1677000;23470000;LICUADORA OSTER XPERT
10228;COCINA VITRO JAM 2 QUEMADORES ;COCINA VITROCERAMICA JAM 2 QUEMADORES DONNA 3000VC;COCINA VITROCERAMICA JAM 2 QUEMADORES DONNA 3000VC;15;15004;370000;518000;COCINA VITRO JAM 2 QUEMADORES 
10229;COCINA VITRO.JAM 1 QUEMADOR ;COCINA VITROCERAMICA JAM 1 QUEMADOR SIMPLEX 2000VC;COCINA VITROCERAMICA JAM 1 QUEMADOR SIMPLEX 2000VC;15;15004;180000;252000;COCINA VITRO.JAM 1 QUEMADOR 
10289;MUEBLE POLITORNO  P/HORNO ;MUEBLE POLITORNO GABINETE P/ HORNO DE 45LTS MICRO TOLEDO 190654 BLANCO;MUEBLE POLITORNO GABINETE P/ HORNO DE 45LTS MICRO TOLEDO 190654 BLANCO;2;2005;330000;462000;MUEBLE POLITORNO  P/HORNO 
10450;HERVIDORA JAM DE VIDRIO 1.7 L;HERVIDORA JAM DE VIDRIO 1.7 LT MOD. MATE 3000;HERVIDORA JAM DE VIDRIO 1.7 LT MOD. MATE 3000;1;1011;130000;182000;HERVIDORA JAM DE VIDRIO 1.7 L
10451;ARMARIO POLITORNO  ALTO ARTICO;ARMARIO POLITORNO ORGANIZADOR LIMEIRA ALTO 3265 ARTICO;ARMARIO POLITORNO ORGANIZADOR LIMEIRA ALTO 3265 ARTICO;2;2004;410000;574000;ARMARIO POLITORNO  ALTO ARTICO
10489;"VENTILADOR DE PARED JAM 18"" ";VENTILADOR DE PARED JAM FW-18  75W 18 NEGRO CON CONTROL;VENTILADOR DE PARED JAM FW-18  75W 18 NEGRO CON CONTROL;25;25002;240000;336000;"VENTILADOR DE PARED JAM 18"" "
10721;FREEZER VERTICAL JAM BCO  210L;FREEZER VERTICAL JAM BLANCO JAMS-170W  210LTS;FREEZER VERTICAL JAM BLANCO JAMS-170W  210LTS;5;5002;2090000;2926000;FREEZER VERTICAL JAM BCO  210L
10735;MICROONDAS JAM 20L BCO ;MICROONDAS JAM 20LTS. MOD. MB720JAY BLANCO C/ LUZ INTERNA  700W 230V/50HZ;MICROONDAS JAM 20LTS. MOD. MB720JAY BLANCO C/ LUZ INTERNA  700W 230V/50HZ;15;15003;400000;560000;MICROONDAS JAM 20L BCO 
10736;MICROONDAS JAM 36L ESPEJADA ;MICROONDAS JAM 36LTS MOD AX360JMK GRILL SILVER PUERTA ESPEJADA 1000W 230V/50HZ;MICROONDAS JAM 36LTS MOD AX360JMK GRILL SILVER PUERTA ESPEJADA 1000W 230V/50HZ;15;15003;750000;1050000;MICROONDAS JAM 36L ESPEJADA 
10752;ESTANTERIA POLITORNO OURO ;ESTANTERIA POLITORNO OURO PRETO 190284 BLANCO (PATAS DE METAL);ESTANTERIA POLITORNO OURO PRETO 190284 BLANCO (PATAS DE METAL);2;2004;570000;798000;ESTANTERIA POLITORNO OURO 
5914;CUNA POLITORNO ORLANDO 2542;CUNA POLITORNO ORLANDO BLANCO/ROSA 2542;CUNA POLITORNO ORLANDO BLANCO/ROSA 2542;2;2003;465000;651000;CUNA POLITORNO ORLANDO 2542
10859;PLANCHA JAM A VAPOR ;PLANCHA JAM A VAPOR MOD.ES-5078;PLANCHA JAM A VAPOR MOD.ES-5078;13;13003;75000;105000;PLANCHA JAM A VAPOR 
11195;EXPRIMIDORA JAM CANDY 85W 1,6L;EXPRIMIDORA JAM MOD. CANDY 85W 16LTS;EXPRIMIDORA JAM MOD. CANDY 85W 16LTS;1;1006;115000;161000;EXPRIMIDORA JAM CANDY 85W 1,6L
11565;ESCRITORIO POLITORNO MALTA 2CJ;ESCRITORIO POLITORNO MALTA - 2 CAJONES 1171 ;ESCRITORIO POLITORNO MALTA - 2 CAJONES 1171 - COLOR DISPONIBLE NEGRO Y TABACO;2;2003;340000;476000;ESCRITORIO POLITORNO MALTA 2CJ
5923;ESTANTE POLITORNO RIO 170643;ESTANTE POLITORNO RIO 170643 TABACO (TV55) C/ PUERTA MDP;ESTANTE POLITORNO RIO 170643 TABACO (TV55) C/ PUERTA MDP;2;2003;1000000;1400000;ESTANTE POLITORNO RIO 170643
11383;EXHIBIDORA UGUR  P/HELADO ;EXHIBIDORA UGUR  P/ HELADO UDD500SCN  V/R 500LTS-HORIZONTAL TERM. ANALOGO;EXHIBIDORA UGUR  P/ HELADO UDD500SCN  V/R 500LTS-HORIZONTAL TERM. ANALOGO;5;5004;3750000;5250000;EXHIBIDORA UGUR  P/HELADO 
11388;EXHIBIDORA UGUR 771L ;EXHIBIDORA UGUR 2P USS1000DSCL 771L LUZ LED PUERTA DESLIZABLE IND.TEMP.ANALOGO;EXHIBIDORA UGUR 2P USS1000DSCL 771L LUZ LED PUERTA DESLIZABLE IND.TEMP.ANALOGO;5;5004;7800000;10920000;EXHIBIDORA UGUR 771L 
11391;HORNO JAM EMPOTRABLE 60I INOX ;HORNO JAM EMPOTRABLE BO-60IX INOX TEMP 240ùC. TIMER 90 MIN. 5 FUNC. C/ BANDEJA;HORNO JAM EMPOTRABLE BO-60IX INOX TEMP 240ùC. TIMER 90 MIN. 5 FUNC. C/ BANDEJA;15;15002;1470000;2058000;HORNO JAM EMPOTRABLE 60I INOX 
11392;HORNO JAM EMPOTRABLE 60L NG ;HORNO JAM EMPOTRABLE BO-60NG NEGRO TEMP 250ùC. TIMER 90 MIN. 9 FUNC. C/ BANDEJA;HORNO JAM EMPOTRABLE BO-60NG NEGRO TEMP 250ùC. TIMER 90 MIN. 9 FUNC. C/ BANDEJA;15;15002;1570000;2198000;HORNO JAM EMPOTRABLE 60L NG 
11393;PLANCHA JAM A VAPOR VERTICAL ;PLANCHA JAM A VAPOR VERTICAL MY-GJ15B3W;PLANCHA JAM A VAPOR VERTICAL MY-GJ15B3W;13;13003;330000;462000;PLANCHA JAM A VAPOR VERTICAL 
160618;ESTANTE POLITORNO VOGUE TV 42;ESTANTE POLITORNO VOGUE 160201 TV 42 - TABACO;ESTANTE POLITORNO VOGUE 160201 TV 42 - TABACO;2;2003;550000;770000;ESTANTE POLITORNO VOGUE TV 42
11398;EXPRIMIDOR DE CITRICOS OSTER ;EXPRIMIDOR DE CITRICOS OSTER FPSTJU4175-051 JARRA 500ML 75 W DE POTENCIA;EXPRIMIDOR DE CITRICOS OSTER FPSTJU4175-051 JARRA 500ML 75 W DE POTENCIA;1;1006;351000;491000;EXPRIMIDOR DE CITRICOS OSTER 
11414;SPLIT  JAM 36.000BTU F/C  ECO;AIRE ACONDICIONADOR JAM 36.000BTU F/C JF-36CHRN1 DESC.HORIZ. 220V/50HZ- R410A ECO;AIRE ACONDICIONADOR JAM 36.000BTU F/C JF-36CHRN1 DESC.HORIZ. 220V/50HZ- R410A ECO;25;25004;6200000;8680000;SPLIT  JAM 36.000BTU F/C  ECO
11429;"TV JAM SMART 32"" ";TV JAM SMART 32 MOD-JA32HD2000S HDHDMI USB ULTRA SLIM;TV JAM SMART 32 MOD-JA32HD2000S HDHDMI USB ULTRA SLIM;9;9001;1280000;1792000;"TV JAM SMART 32"" "
11440;CAMA CUNA POLITORNO ;CAMA CUNA POLITORNO MADRI FUNCIONAL + CAMA AUXILIAR BLANCA 200077 C/ COMODA;CAMA CUNA POLITORNO MADRI FUNCIONAL + CAMA AUXILIAR BLANCA 200077 C/ COMODA;2;2003;950000;1330000;CAMA CUNA POLITORNO 
11448;HERVIDOR DE AGUA OSTER  1,7L;HERVIDOR DE AGUA OSTER BVSTKT8970-057-1 SELECTOR 70ù A 100ù 17LTS INOX;HERVIDOR DE AGUA OSTER BVSTKT8970-057-1 SELECTOR 70ù A 100ù 17LTS INOX;1;1011;451000;6305000;HERVIDOR DE AGUA OSTER  1,7L
11461;HORNO ELECTRICO JAM 50L TIMER ;HORNO ELECTRICO JAM 50 LTS DN50E-RML C/ LUZ INTERNA SPIEDO TIMER 120MIN 2200W;HORNO ELECTRICO JAM 50 LTS DN50E-RML C/ LUZ INTERNA SPIEDO TIMER 120MIN 2200W;15;15002;650000;910000;HORNO ELECTRICO JAM 50L TIMER 
