;nom corto ;nom largo ;detalle;fam;clase;;
10451;Armario Politorno Organizador Limeira Alto 3265 Artico;Armario Politorno Organizador Limeira Alto 3265 Artico;Armario Politorno Organizador Limeira Alto 3265 Artico;2;2004;410000;574000
10489;Ventilador De Pared Jam Fw 18  75W 18 Negro Con Control;Ventilador De Pared Jam Fw-18  75W 18 Negro Con Control;Ventilador De Pared Jam Fw-18  75W 18 Negro Con Control;25;25002;240000;336000
10721;Freezer Vertical Jam Blanco Jams 170W  210Lts;Freezer Vertical Jam Blanco Jams-170W  210Lts;Freezer Vertical Jam Blanco Jams-170W  210Lts;5;5002;2090000;2926000
10735;Microondas Jam 20Lts. Mod. Mb720Jay Blanco C  Luz Interna  700W 230V 50Hz;Microondas Jam 20Lts. Mod. Mb720Jay Blanco C/ Luz Interna  700W 230V/50Hz;Microondas Jam 20Lts. Mod. Mb720Jay Blanco C/ Luz Interna  700W 230V/50Hz;15;15003;400000;560000
10736;Microondas Jam 36Lts Mod Ax360Jmk Grill Silver Puerta Espejada 1000W 230V 50Hz;Microondas Jam 36Lts Mod Ax360Jmk Grill Silver Puerta Espejada 1000W 230V/50Hz;Microondas Jam 36Lts Mod Ax360Jmk Grill Silver Puerta Espejada 1000W 230V/50Hz;15;15003;750000;1050000
10752;Estanteria Politorno Ouro Preto 190284 Blanco (Patas De Metal);Estanteria Politorno Ouro Preto 190284 Blanco (Patas De Metal);Estanteria Politorno Ouro Preto 190284 Blanco (Patas De Metal);2;2004;570000;798000
5914;Cuna Politorno Orlando 2542;Cuna Politorno Orlando Blanco/Rosa 2542;Cuna Politorno Orlando Blanco/Rosa 2542;2;2003;465000;651000
10859;Plancha Jam A Vapor Mod.Es 5078;Plancha Jam A Vapor Mod.Es-5078;Plancha Jam A Vapor Mod.Es-5078;13;13003;75000;105000
11195;Exprimidora Jam Mod. Candy 85W 16Lts;Exprimidora Jam Mod. Candy 85W 16Lts;Exprimidora Jam Mod. Candy 85W 16Lts;1;1006;115000;161000
11565;Escritorio Politorno Malta 2Cj;Escritorio Politorno Malta - 2 Cajones 1171 ;Escritorio Politorno Malta - 2 Cajones 1171 - Color Disponible Negro Y Tabaco;2;2003;340000;476000
5923;Estante Politorno Rio 170643;Estante Politorno Rio 170643 Tabaco (Tv55) C/ Puerta Mdp;Estante Politorno Rio 170643 Tabaco (Tv55) C/ Puerta Mdp;2;2003;1000000;1400000
11383;Exhibidora Ugur  P  Helado Udd500Scn  V R 500Lts Horizontal Term. Analogo;Exhibidora Ugur  P/ Helado Udd500Scn  V/R 500Lts-Horizontal Term. Analogo;Exhibidora Ugur  P/ Helado Udd500Scn  V/R 500Lts-Horizontal Term. Analogo;5;5004;3750000;5250000
11388;Exhibidora Ugur 2P Uss1000Dscl 771L Luz Led Puerta Deslizable Ind.Temp.Analogo;Exhibidora Ugur 2P Uss1000Dscl 771L Luz Led Puerta Deslizable Ind.Temp.Analogo;Exhibidora Ugur 2P Uss1000Dscl 771L Luz Led Puerta Deslizable Ind.Temp.Analogo;5;5004;7800000;10920000
11391;Horno Jam Empotrable Bo 60Ix Inox Temp 240øC. Timer 90 Min. 5 Func. C  Bandeja;Horno Jam Empotrable Bo-60Ix Inox Temp 240øC. Timer 90 Min. 5 Func. C/ Bandeja;Horno Jam Empotrable Bo-60Ix Inox Temp 240øC. Timer 90 Min. 5 Func. C/ Bandeja;15;15002;1470000;2058000
11392;Horno Jam Empotrable Bo 60Ng Negro Temp 250øC. Timer 90 Min. 9 Func. C  Bandeja;Horno Jam Empotrable Bo-60Ng Negro Temp 250øC. Timer 90 Min. 9 Func. C/ Bandeja;Horno Jam Empotrable Bo-60Ng Negro Temp 250øC. Timer 90 Min. 9 Func. C/ Bandeja;15;15002;1570000;2198000
11393;Plancha Jam A Vapor Vertical My Gj15B3W;Plancha Jam A Vapor Vertical My-Gj15B3W;Plancha Jam A Vapor Vertical My-Gj15B3W;13;13003;330000;462000
160618;Estante Politorno Vogue Tv 42;Estante Politorno Vogue 160201 Tv 42 - Tabaco;Estante Politorno Vogue 160201 Tv 42 - Tabaco;2;2003;550000;770000
11398;Exprimidor De Citricos Oster Fpstju4175 051 Jarra 500Ml 75 W De Potencia;Exprimidor De Citricos Oster Fpstju4175-051 Jarra 500Ml 75 W De Potencia;Exprimidor De Citricos Oster Fpstju4175-051 Jarra 500Ml 75 W De Potencia;1;1006;351000;491000
11414;Aire Acondicionador Jam 36.000Btu F C Jf 36Chrn1 Desc.Horiz. 220V 50Hz  R410A Eco;Aire Acondicionador Jam 36.000Btu F/C Jf-36Chrn1 Desc.Horiz. 220V/50Hz- R410A Eco;Aire Acondicionador Jam 36.000Btu F/C Jf-36Chrn1 Desc.Horiz. 220V/50Hz- R410A Eco;25;25004;6200000;8680000
11429;Tv Jam Smart 32 Mod Ja32Hd2000S HdHdmi Usb Ultra Slim;Tv Jam Smart 32 Mod-Ja32Hd2000S HdHdmi Usb Ultra Slim;Tv Jam Smart 32 Mod-Ja32Hd2000S HdHdmi Usb Ultra Slim;9;9001;1280000;1792000
11440;Cama Cuna Politorno Madri Funcional + Cama Auxiliar Blanca 200077 C  Comoda;Cama Cuna Politorno Madri Funcional + Cama Auxiliar Blanca 200077 C/ Comoda;Cama Cuna Politorno Madri Funcional + Cama Auxiliar Blanca 200077 C/ Comoda;2;2003;950000;1330000
11448;Hervidor De Agua Oster Bvstkt8970 057 1 Selector 70ø A 100ø 17Lts Inox;Hervidor De Agua Oster Bvstkt8970-057-1 Selector 70ø A 100ø 17Lts Inox;Hervidor De Agua Oster Bvstkt8970-057-1 Selector 70ø A 100ø 17Lts Inox;1;1011;451000;6305000
11461;Horno Electrico Jam 50 Lts Dn50E Rml C  Luz Interna Spiedo Timer 120Min 2200W;Horno Electrico Jam 50 Lts Dn50E-Rml C/ Luz Interna Spiedo Timer 120Min 2200W;Horno Electrico Jam 50 Lts Dn50E-Rml C/ Luz Interna Spiedo Timer 120Min 2200W;15;15002;650000;910000
11462;Horno Electrico Jam 60 Lts Dn60E Rml C  Luz Interna Spiedo Timer 120Min 2200W;Horno Electrico Jam 60 Lts Dn60E-Rml C/ Luz Interna Spiedo Timer 120Min 2200W;Horno Electrico Jam 60 Lts Dn60E-Rml C/ Luz Interna Spiedo Timer 120Min 2200W;15;15002;750000;1050000
11466;Cocina A Gas Jam Eva Top Glass 5Hb Negro Con Luz En El Horno;Cocina A Gas Jam Eva Top Glass 5Hb Negro Con Luz En El Horno;Cocina A Gas Jam Eva Top Glass 5Hb Negro Con Luz En El Horno;15;15006;1300000;1820000
11529;Ventilador Industrial De Pie Jam Jm130 4Cuchil Negro30 Base Red. 250W 220V 50Hz;Ventilador Industrial De Pie Jam Jm130 4Cuchil/Negro30 Base Red. 250W 220V/50Hz;Ventilador Industrial De Pie Jam Jm130 4Cuchil/Negro30 Base Red. 250W 220V/50Hz;25;25002;420000;588000
11532;Ventilador Industrial De Pared Jam Jm130C 4 Cuchil Negro 30 C  Control 250W;Ventilador Industrial De Pared Jam Jm130C 4 Cuchil/Negro 30 C/ Control 250W;Ventilador Industrial De Pared Jam Jm130C 4 Cuchil/Negro 30 C/ Control 250W;25;25002;475000;665000
11904;Freidora Oster Ofrt950 220;Freidora Oster Ofrt950-220 Control Digital Panel Tactil 33Lt 8 Funciones 1300W;Freidora Oster Ofrt950-220 Control Digital Panel Tactil 33Lt 8 Funciones 1300W;1;1002;887000;12416000
7978;Heladera Briket Bk 1211 290L;Heladera Briket Bk 1211 290Lts. 1Pta.;Heladera Briket Bk 1211 290Lts. 1Pta.;5;5001;1795000;2513000
11814;Hervidor Elect 17 Lts Oster;Hervidor Electrico 17 Lts Oster Bvstkt3100-053;Hervidor Electrico 17 Lts Oster Bvstkt3100-053;5;5001;161000;2250000
11867;Hervidora Oster 1.7 Lts 1850;Hervidora Oster 1.7 Lts 1850 Wts Ocel500-220;Hervidora Oster 1.7 Lts 1850 Wts Ocel500-220;5;5001;319000;446000
